Survived,Pclass,Sex,Age,Fare,Embarked,FamilySize
0.0,1.0,male,0.3495145631067961,0.014151057562208049,S,1.125
1.0,0.0,female,0.6601941747572815,0.13913573538264068,C,1.125
1.0,1.0,female,0.4271844660194175,0.015468569817999833,S,1.0
1.0,0.0,female,0.6019417475728155,0.10364429745562033,S,1.125
0.0,1.0,male,0.6019417475728155,0.015712553569072387,S,1.0
0.0,1.0,male,0.49790471255590696,0.01650950209357577,Q,1.0
0.0,0.0,male,0.970873786407767,0.10122885832000206,S,1.0
1.0,1.0,female,0.44660194174757284,0.021730754366528396,S,1.3333333333333333
1.0,0.5,female,0.1941747572815534,0.058694292654020104,C,1.125
1.0,1.0,female,0.0,0.03259622914329302,S,1.2916666666666665
0.0,1.0,male,0.3106796116504854,0.015712553569072387,S,1.0
0.0,1.0,male,0.6796116504854368,0.06104473451835265,S,1.9583333333333333
0.0,1.0,female,0.1941747572815534,0.015330377421392339,S,1.0
1.0,0.5,female,0.9902912621359223,0.03122992013728673,S,1.0
1.0,0.5,male,0.49790471255590696,0.025374310111545468,S,1.0
0.0,1.0,female,0.5242718446601942,0.03513366015444757,S,1.125
1.0,1.0,female,0.49790471255590696,0.014102260811993537,C,1.0
0.0,0.5,male,0.6019417475728155,0.050748620223090936,S,1.0
1.0,0.5,male,0.5825242718446602,0.025374310111545468,S,1.0
1.0,1.0,female,0.21359223300970873,0.015671954672893913,Q,1.0
1.0,0.0,male,0.46601941747572817,0.06929138530460494,S,1.0
0.0,1.0,female,0.07766990291262135,0.04113566043083236,S,1.5416666666666665
1.0,1.0,female,0.6601941747572815,0.06126431989431795,S,1.9583333333333333
0.0,1.0,male,0.49790471255590696,0.014102260811993537,C,1.0
0.0,0.0,male,0.2912621359223301,0.5133418122566507,S,1.7083333333333333
1.0,1.0,female,0.49790471255590696,0.01537917417160685,Q,1.0
0.0,1.0,male,0.49790471255590696,0.015411575213749286,S,1.0
0.0,0.0,male,0.6990291262135921,0.05410739813385612,C,1.0
1.0,0.0,female,0.49790471255590696,0.2859895551532101,C,1.125
1.0,1.0,female,0.49790471255590696,0.015126992566498259,Q,1.0
0.0,0.0,male,0.46601941747572817,0.16038672010106003,C,1.125
0.0,0.0,male,0.7378640776699029,0.10149724044618187,S,1.125
1.0,1.0,male,0.49790471255590696,0.014110458666029575,C,1.0
0.0,1.0,male,0.33009708737864074,0.015712553569072387,S,1.0
0.0,1.0,female,0.27184466019417475,0.03513366015444757,S,1.25
1.0,1.0,female,0.1941747572815534,0.021942337075458514,C,1.125
0.0,1.0,female,0.6990291262135921,0.018493968331299484,S,1.125
0.0,0.5,female,0.44660194174757284,0.04098927018018883,S,1.125
0.0,1.0,male,0.49790471255590696,0.015411575213749286,C,1.0
1.0,1.0,female,0.2912621359223301,0.01537917417160685,Q,1.0
0.0,1.0,male,0.49790471255590696,0.015712553569072387,S,1.0
0.0,1.0,male,0.49790471255590696,0.030253985132996517,Q,1.125
1.0,1.0,female,0.49790471255590696,0.015126992566498259,Q,1.0
0.0,1.0,male,0.49790471255590696,0.04231498029001666,C,1.25
0.0,1.0,female,0.27184466019417475,0.034743286152731485,S,1.125
0.0,1.0,male,0.05825242718446602,0.07746484096553544,S,1.6666666666666665
0.0,1.0,male,0.33009708737864074,0.01522458606692728,S,1.0
1.0,0.0,female,0.8737864077669902,0.1497654242623688,C,1.125
1.0,0.5,female,0.4854368932038835,0.050748620223090936,S,1.125
1.0,0.0,male,0.49790471255590696,0.06929138530460494,S,1.0
1.0,0.5,female,0.33009708737864074,0.020494635090094415,S,1.0
0.0,1.0,male,0.47572815533980584,0.014110458666029575,C,1.0
1.0,0.5,female,0.01941747572815533,0.05416439273810667,S,1.4583333333333333
0.0,1.0,male,0.13592233009708737,0.09154270340242172,S,1.9583333333333333
0.0,1.0,male,0.3495145631067961,0.014110458666029575,C,1.0
0.0,0.0,male,0.7961165048543689,0.16293234896625058,S,1.125
0.0,1.0,male,0.0,0.05445717323939373,S,1.7083333333333333
0.0,0.0,male,0.49790471255590696,0.05410739813385612,C,1.0
1.0,1.0,male,0.49790471255590696,0.029757819776815374,C,1.2916666666666665
1.0,0.5,female,0.4854368932038835,0.020494635090094415,S,1.0
0.0,1.0,male,0.2912621359223301,0.015923941091001644,S,1.0
1.0,1.0,female,0.2524271844660194,0.015468569817999833,S,1.8333333333333333
0.0,1.0,male,0.4271844660194175,0.016908073949327893,S,1.25
0.0,0.5,male,0.5436893203883495,0.020494635090094415,S,1.0
0.0,1.0,female,0.23300970873786406,0.09154270340242172,S,1.9583333333333333
0.0,0.5,male,0.33009708737864074,0.1434624456306609,S,1.0
0.0,1.0,male,0.4271844660194175,0.028212719478023115,C,1.125
1.0,1.0,male,0.5436893203883495,0.11027245763075773,S,1.0
0.0,1.0,male,0.40776699029126207,0.014931805565640218,S,1.0
0.0,1.0,male,0.49790471255590696,0.015411575213749286,S,1.0
0.0,1.0,male,0.49790471255590696,0.015712553569072387,S,1.0
1.0,1.0,female,0.5048543689320388,0.024349578357040744,S,1.0
0.0,1.0,male,0.3495145631067961,0.017566830077223785,S,1.0
1.0,1.0,male,0.4854368932038835,0.018542765081513996,S,1.0
1.0,1.0,female,0.49790471255590696,0.015200187691820024,Q,1.0
0.0,0.0,male,0.46601941747572817,0.09193307740413781,S,1.0
1.0,0.5,female,0.2524271844660194,0.020494635090094415,S,1.0
1.0,1.0,female,0.5631067961165048,0.030937139635999665,S,1.375
0.0,1.0,male,0.23300970873786406,0.06709553154495196,S,1.625
0.0,1.0,male,0.49790471255590696,0.015712553569072387,S,1.0
1.0,0.0,female,0.3689320388349514,0.5133418122566507,S,1.7083333333333333
0.0,1.0,male,0.38834951456310673,0.015712553569072387,S,1.0
0.0,1.0,male,0.4854368932038835,0.015712553569072387,S,1.0
0.0,1.0,male,0.3106796116504854,0.015330377421392339,S,1.0
0.0,0.0,male,0.8155339805825242,0.11940564777490723,S,1.125
0.0,1.0,male,0.4271844660194175,0.04015972542654215,S,1.4583333333333333
0.0,1.0,male,0.49790471255590696,0.015712553569072387,S,1.0
1.0,0.0,male,0.3689320388349514,0.12366716556464086,C,1.1666666666666667
1.0,0.5,female,0.5825242718446602,0.044893010197349675,S,1.1666666666666667
0.0,0.5,male,0.5825242718446602,0.050748620223090936,S,1.125
0.0,1.0,female,0.46601941747572817,0.015411575213749286,S,1.0
0.0,1.0,male,0.49790471255590696,0.015411575213749286,S,1.0
0.0,0.0,male,0.33009708737864074,0.15085515328815924,S,1.1666666666666667
0.0,1.0,male,0.5631067961165048,0.016891873428256675,S,1.0
0.0,1.0,male,0.6407766990291262,0.015468569817999833,S,1.25
0.0,1.0,male,0.46601941747572817,0.015411575213749286,S,1.0
1.0,1.0,female,0.33009708737864074,0.014931805565640218,S,1.0
1.0,1.0,male,0.49790471255590696,0.015175789316712771,S,1.0
0.0,1.0,male,0.6601941747572815,0.015411575213749286,S,1.0
1.0,1.0,female,0.49790471255590696,0.04713766070721715,Q,1.125
0.0,0.0,male,0.8349514563106796,0.10149724044618187,S,1.0
0.0,1.0,female,0.20388349514563106,0.028212719478023115,C,1.125
0.0,1.0,male,0.3495145631067961,0.015712553569072387,S,1.0
0.0,1.0,female,0.3106796116504854,0.019177122834302632,S,1.125
0.0,1.0,female,0.2524271844660194,0.028220722145058292,C,1.0
0.0,1.0,male,0.33009708737864074,0.015468569817999833,S,1.0
0.0,0.5,male,0.4854368932038835,0.04098927018018883,S,1.125
0.0,0.0,male,0.38834951456310673,0.4831284260198326,C,1.1666666666666667
0.0,0.5,male,0.33009708737864074,0.1434624456306609,S,1.25
0.0,1.0,male,0.49790471255590696,0.015712553569072387,S,1.0
0.0,0.5,male,0.5533980582524272,0.058694292654020104,C,1.125
1.0,0.5,female,0.5533980582524272,0.025374310111545468,S,1.0
0.0,0.0,male,0.970873786407767,0.15085515328815924,S,1.1666666666666667
1.0,1.0,male,0.1553398058252427,0.021942337075458514,C,1.125
0.0,1.0,male,0.49790471255590696,0.015126992566498259,Q,1.0
1.0,1.0,male,0.38834951456310673,0.01393967004027879,S,1.0
1.0,1.0,female,0.49790471255590696,0.04364049521284362,C,1.2916666666666665
0.0,1.0,male,0.7961165048543689,0.013614293309848433,S,1.0
0.0,1.0,male,0.5631067961165048,0.015411575213749286,C,1.0
0.0,1.0,male,0.3106796116504854,0.013760683560491965,S,1.0
0.0,1.0,female,0.8349514563106796,0.028302115124416098,S,1.125
1.0,0.5,female,0.4854368932038835,0.050748620223090936,S,1.125
0.0,0.5,male,0.40776699029126207,0.025374310111545468,S,1.0
0.0,0.5,male,0.3689320388349514,0.02936744577509929,C,1.0
1.0,0.0,female,0.2912621359223301,0.051301584996521765,S,1.3333333333333333
0.0,0.0,male,0.6407766990291262,0.10364429745562033,S,1.125
0.0,1.0,male,0.23300970873786406,0.01798980030808316,S,1.0
0.0,0.0,male,0.38834951456310673,0.15458810467956932,C,1.0
0.0,1.0,female,0.49790471255590696,0.029757819776815374,C,1.3333333333333333
1.0,1.0,female,0.3495145631067961,0.015126992566498259,S,1.0
1.0,1.0,female,0.38834951456310673,0.030937139635999665,S,1.125
0.0,1.0,male,0.2912621359223301,0.013175122557917838,Q,1.0
0.0,0.5,male,0.27184466019417475,0.022446505098674838,S,1.0
0.0,0.5,male,0.2912621359223301,0.07173122281533045,S,1.2916666666666665
1.0,1.0,male,0.44660194174757284,0.015216388212891242,S,1.0
0.0,1.0,female,0.09708737864077668,0.06709553154495196,S,1.5833333333333333
0.0,0.5,male,0.6310679611650485,0.050748620223090936,S,1.3333333333333333
0.0,0.5,male,0.7378640776699029,0.025374310111545468,S,1.0
0.0,0.5,male,0.9126213592233009,0.02444717185746977,S,1.0
1.0,0.0,female,0.3495145631067961,0.12999454257145598,S,1.125
0.0,1.0,male,1.0,0.015712553569072387,S,1.0
0.0,1.0,male,0.7087378640776699,0.028302115124416098,S,1.3333333333333333
0.0,1.0,male,0.49790471255590696,0.014273049437744325,S,1.0
0.0,0.0,male,0.9126213592233009,0.11980421963065935,C,1.1666666666666667
1.0,1.0,female,0.23300970873786406,0.015094396337354966,Q,1.0
0.0,1.0,male,0.5048543689320388,0.015712553569072387,S,1.0
0.0,1.0,male,0.49790471255590696,0.016908073949327893,S,1.0
0.0,1.0,male,0.49790471255590696,0.13575255909676825,S,2.333333333333333
0.0,1.0,male,0.7766990291262136,0.031425107138144774,S,1.1666666666666667
1.0,0.5,female,0.6990291262135921,0.030741952635141623,S,1.0
0.0,1.0,male,0.4271844660194175,0.015175789316712771,S,1.0
0.0,1.0,male,0.2524271844660194,0.016908073949327893,S,1.0
1.0,1.0,male,0.09708737864077668,0.04006213192611313,S,1.3333333333333333
1.0,0.0,female,0.49790471255590696,0.10735285047192313,S,1.1666666666666667
0.0,1.0,female,0.7961165048543689,0.05445717323939373,S,1.7916666666666665
0.0,0.0,male,0.49790471255590696,0.050602229972447406,S,1.0
0.0,1.0,male,0.46601941747572817,0.11027245763075773,S,1.0
0.0,1.0,male,0.0,0.05684821399990475,Q,1.6666666666666665
0.0,1.0,male,0.33009708737864074,0.015468569817999833,S,1.0
0.0,1.0,male,0.27184466019417475,0.015330377421392339,S,1.2916666666666665
0.0,1.0,male,0.49790471255590696,0.049707687947515,S,1.5416666666666665
0.0,0.0,female,0.8932038834951456,0.05604306762136532,C,1.0
0.0,0.5,male,0.5048543689320388,0.025374310111545468,S,1.0
0.0,1.0,male,0.6213592233009708,0.0,S,1.0
0.0,1.0,female,0.49790471255590696,0.13575255909676825,S,2.333333333333333
0.0,0.5,male,0.49790471255590696,0.02937564362913533,C,1.0
0.0,1.0,male,0.09708737864077668,0.06126431989431795,S,1.8333333333333333
1.0,1.0,female,0.0,0.04298993693898376,S,1.3333333333333333
0.0,0.0,male,0.49790471255590696,0.09759350042902103,S,1.0
1.0,1.0,female,0.49790471255590696,0.030253985132996517,Q,1.125
1.0,0.0,male,0.7961165048543689,0.051822148727810165,S,1.0
0.0,1.0,male,0.6990291262135921,0.030253985132996517,Q,1.2916666666666665
0.0,1.0,male,0.6213592233009708,0.015411575213749286,S,1.0
1.0,0.5,female,0.5436893203883495,0.025374310111545468,S,1.0
0.0,0.5,male,0.2912621359223301,0.025374310111545468,S,1.0
1.0,1.0,female,0.2912621359223301,0.015330377421392339,S,1.125
1.0,0.0,female,0.7766990291262136,0.05410739813385612,C,1.0
0.0,1.0,male,0.49790471255590696,0.015126992566498259,Q,1.0
0.0,1.0,male,0.7378640776699029,0.01640390592611157,S,1.1666666666666667
1.0,1.0,female,0.49790471255590696,0.015126992566498259,Q,1.0
0.0,0.5,female,0.38834951456310673,0.025374310111545468,S,1.0
0.0,1.0,male,0.46601941747572817,0.018542765081513996,S,1.0
0.0,1.0,male,0.49790471255590696,0.13575255909676825,S,2.333333333333333
0.0,1.0,male,0.5825242718446602,0.012678957201736696,S,1.0
0.0,1.0,male,0.8058252427184466,0.014102260811993537,C,1.0
1.0,1.0,male,0.27184466019417475,0.015712553569072387,S,1.0
0.0,1.0,male,0.5436893203883495,0.030937139635999665,S,1.125
1.0,1.0,male,0.4271844660194175,0.036670757786204655,C,1.0
1.0,1.0,female,0.23300970873786406,0.015126992566498259,Q,1.0
1.0,0.0,male,0.6990291262135921,0.060507970265993034,C,1.0
0.0,1.0,male,0.38834951456310673,0.013760683560491965,S,1.0
1.0,0.5,female,0.6019417475728155,0.04098927018018883,S,1.0
0.0,1.0,male,0.3495145631067961,0.014151057562208049,S,1.0
0.0,0.5,male,0.5048543689320388,0.025374310111545468,S,1.0
0.0,1.0,male,0.49790471255590696,0.015126992566498259,Q,1.125
1.0,0.0,female,0.5242718446601942,0.22109807522194713,C,1.125
1.0,1.0,female,0.44660194174757284,0.015468569817999833,S,1.0
0.0,0.5,male,0.7378640776699029,0.05270049023167135,S,1.125
1.0,0.0,female,0.5436893203883495,0.14891148113361488,C,1.0
0.0,0.5,male,0.5048543689320388,0.020494635090094415,S,1.0
1.0,1.0,male,0.23300970873786406,0.015712553569072387,S,1.0
0.0,0.5,male,0.44660194174757284,0.025374310111545468,S,1.0
0.0,1.0,male,0.9126213592233009,0.015712553569072387,S,1.0
0.0,1.0,male,0.49790471255590696,0.015411575213749286,S,1.0
1.0,0.0,male,0.6601941747572815,0.17566830077223786,S,1.125
0.0,1.0,male,0.3495145631067961,0.018249984580226933,S,1.0
1.0,0.5,male,0.2912621359223301,0.020494635090094415,S,1.0
0.0,1.0,male,0.3203883495145631,0.014151057562208049,S,1.0
0.0,0.5,male,0.27184466019417475,0.025374310111545468,S,1.0
0.0,1.0,female,0.49790471255590696,0.049707687947515,S,1.5416666666666665
1.0,0.0,female,0.6019417475728155,0.16293234896625058,S,1.125
0.0,1.0,male,0.4854368932038835,0.015175789316712771,S,1.0
1.0,1.0,female,0.01941747572815533,0.06126431989431795,S,1.8333333333333333
0.0,0.5,male,0.38834951456310673,0.020494635090094415,S,1.0
0.0,1.0,female,0.49790471255590696,0.014736618564782174,S,1.0
0.0,0.5,male,0.7766990291262136,0.050748620223090936,S,1.125
1.0,0.5,female,0.07766990291262135,0.05123658772523604,S,1.3333333333333333
0.0,0.5,male,0.2912621359223301,0.020494635090094415,S,1.0
0.0,0.5,male,0.5631067961165048,0.023959204355324663,S,1.0
0.0,1.0,female,0.49790471255590696,0.028212719478023115,C,1.125
1.0,1.0,female,0.49790471255590696,0.030253985132996517,Q,1.125
0.0,0.5,male,0.4854368932038835,0.020494635090094415,S,1.0
0.0,1.0,male,0.3495145631067961,0.013907073811135496,S,1.0
0.0,1.0,male,0.5048543689320388,0.014102260811993537,C,1.0
0.0,0.0,male,0.7766990291262136,0.17566830077223786,Q,1.25
0.0,1.0,female,0.40776699029126207,0.015175789316712771,S,1.0
1.0,0.5,female,0.38834951456310673,0.028302115124416098,S,1.3333333333333333
1.0,0.0,male,0.6407766990291262,0.10257896680493714,S,1.2916666666666665
0.0,0.5,male,0.970873786407767,0.050748620223090936,S,1.125
0.0,1.0,male,0.49790471255590696,0.014151057562208049,S,1.0
0.0,1.0,female,0.4854368932038835,0.02042143996477265,S,1.2916666666666665
0.0,1.0,male,0.5048543689320388,0.031425107138144774,S,1.125
0.0,1.0,female,0.7184466019417476,0.039452172548431745,S,1.3333333333333333
1.0,1.0,female,0.4854368932038835,0.029757819776815374,C,1.3333333333333333
1.0,0.0,female,0.49790471255590696,0.15458810467956932,C,1.0
1.0,0.0,female,0.5048543689320388,0.16883675574220638,S,1.0
1.0,0.0,female,0.6019417475728155,1.0,C,1.0
1.0,0.5,female,0.8932038834951456,0.050748620223090936,S,1.1666666666666667
0.0,1.0,male,0.49790471255590696,0.015126992566498259,Q,1.0
0.0,0.0,male,0.9320388349514563,0.1554664461834305,S,1.2916666666666665
0.0,0.0,male,0.6990291262135921,0.0,S,1.0
0.0,1.0,female,0.49790471255590696,0.015126992566498259,Q,1.0
0.0,0.5,male,0.6213592233009708,0.020494635090094415,S,1.0
0.0,1.0,male,0.23300970873786406,0.07746484096553544,S,1.6666666666666665
1.0,1.0,male,0.40776699029126207,0.015175789316712771,S,1.125
1.0,0.0,female,0.6019417475728155,0.2647385704347907,S,1.0
0.0,0.0,male,0.49790471255590696,0.060507970265993034,S,1.0
1.0,1.0,male,0.40776699029126207,0.0,S,1.0
1.0,0.5,female,0.7184466019417476,0.038061465167318204,S,1.1666666666666667
0.0,0.0,male,0.6407766990291262,0.057970539254838485,C,1.1666666666666667
1.0,1.0,female,0.49790471255590696,0.015126992566498259,Q,1.0
0.0,1.0,female,0.7961165048543689,0.015126992566498259,S,1.0
0.0,0.5,male,0.49790471255590696,0.0,S,1.0
0.0,1.0,male,0.05825242718446602,0.05684821399990475,Q,1.6666666666666665
1.0,1.0,female,0.6019417475728155,0.03952536767375352,S,1.2916666666666665
0.0,1.0,male,0.46601941747572817,0.015330377421392339,S,1.0
0.0,1.0,male,0.23300970873786406,0.018542765081513996,S,1.0
1.0,1.0,male,0.2912621359223301,0.015712553569072387,S,1.0
0.0,0.0,male,0.49790471255590696,0.050748620223090936,S,1.0
0.0,1.0,male,0.5631067961165048,0.016908073949327893,C,1.0
1.0,1.0,male,0.5048543689320388,0.018542765081513996,S,1.0
0.0,1.0,male,0.3495145631067961,0.015411575213749286,S,1.0
1.0,0.5,male,0.7378640776699029,0.025374310111545468,S,1.0
1.0,1.0,female,0.3495145631067961,0.015126992566498259,Q,1.0
1.0,0.0,female,0.4271844660194175,0.15390495017656614,S,1.0
1.0,0.0,female,0.2912621359223301,0.17777475888549785,C,1.125
0.0,0.5,male,0.6213592233009708,0.025130326360472913,C,1.0
0.0,1.0,female,0.38834951456310673,0.01727404957593672,S,1.0
0.0,1.0,male,0.38834951456310673,0.015411575213749286,S,1.0
0.0,0.0,male,0.49790471255590696,0.05410739813385612,C,1.0
0.0,1.0,male,0.37864077669902907,0.014110458666029575,C,1.0
1.0,0.0,male,0.49790471255590696,0.05953203526170282,S,1.0
